"","target_id","source_id","weight"
"1","8.00_68.00","7.00_67.00",0.0626123039653339
"2","8.00_68.00","7.00_68.00",0.125224607930668
"3","8.00_68.00","7.00_69.00",0.0626123039653339
"4","8.00_68.00","8.00_67.00",0.125005354756002
"5","8.00_68.00","8.00_68.00",0.250010709512004
"6","8.00_68.00","8.00_69.00",0.125005354756002
"7","8.00_68.00","9.00_67.00",0.0623823412786641
"8","8.00_68.00","9.00_68.00",0.124764682557328
"9","8.00_68.00","9.00_69.00",0.0623823412786641
"10","8.00_70.00","7.00_69.00",0.0626123039653339
"11","8.00_70.00","7.00_70.00",0.125224607930668
"12","8.00_70.00","7.00_71.00",0.0626123039653339
"13","8.00_70.00","8.00_69.00",0.125005354756002
"14","8.00_70.00","8.00_70.00",0.250010709512004
"15","8.00_70.00","8.00_71.00",0.125005354756002
"16","8.00_70.00","9.00_69.00",0.0623823412786641
"17","8.00_70.00","9.00_70.00",0.124764682557328
"18","8.00_70.00","9.00_71.00",0.0623823412786641
"19","8.00_72.00","7.00_71.00",0.0626123039653339
"20","8.00_72.00","7.00_72.00",0.125224607930668
"21","8.00_72.00","7.00_73.00",0.0626123039653339
"22","8.00_72.00","8.00_71.00",0.125005354756002
"23","8.00_72.00","8.00_72.00",0.250010709512004
"24","8.00_72.00","8.00_73.00",0.125005354756002
"25","8.00_72.00","9.00_71.00",0.0623823412786641
"26","8.00_72.00","9.00_72.00",0.124764682557328
"27","8.00_72.00","9.00_73.00",0.0623823412786641
"28","8.00_74.00","7.00_73.00",0.0626123039653339
"29","8.00_74.00","7.00_74.00",0.125224607930668
"30","8.00_74.00","7.00_75.00",0.0626123039653339
"31","8.00_74.00","8.00_73.00",0.125005354756002
"32","8.00_74.00","8.00_74.00",0.250010709512004
"33","8.00_74.00","8.00_75.00",0.125005354756002
"34","8.00_74.00","9.00_73.00",0.0623823412786641
"35","8.00_74.00","9.00_74.00",0.124764682557328
"36","8.00_74.00","9.00_75.00",0.0623823412786641
"37","8.00_76.00","7.00_75.00",0.0626123039653339
"38","8.00_76.00","7.00_76.00",0.125224607930668
"39","8.00_76.00","7.00_77.00",0.0626123039653339
"40","8.00_76.00","8.00_75.00",0.125005354756002
"41","8.00_76.00","8.00_76.00",0.250010709512004
"42","8.00_76.00","8.00_77.00",0.125005354756002
"43","8.00_76.00","9.00_75.00",0.0623823412786641
"44","8.00_76.00","9.00_76.00",0.124764682557328
"45","8.00_76.00","9.00_77.00",0.0623823412786641
"46","8.00_78.00","7.00_77.00",0.0626123039653339
"47","8.00_78.00","7.00_78.00",0.125224607930668
"48","8.00_78.00","7.00_79.00",0.0626123039653339
"49","8.00_78.00","8.00_77.00",0.125005354756002
"50","8.00_78.00","8.00_78.00",0.250010709512004
"51","8.00_78.00","8.00_79.00",0.125005354756002
"52","8.00_78.00","9.00_77.00",0.0623823412786641
"53","8.00_78.00","9.00_78.00",0.124764682557328
"54","8.00_78.00","9.00_79.00",0.0623823412786641
"55","8.00_80.00","7.00_79.00",0.0626123039653339
"56","8.00_80.00","7.00_80.00",0.125224607930668
"57","8.00_80.00","7.00_81.00",0.0626123039653339
"58","8.00_80.00","8.00_79.00",0.125005354756002
"59","8.00_80.00","8.00_80.00",0.250010709512004
"60","8.00_80.00","8.00_81.00",0.125005354756002
"61","8.00_80.00","9.00_79.00",0.0623823412786641
"62","8.00_80.00","9.00_80.00",0.124764682557328
"63","8.00_80.00","9.00_81.00",0.0623823412786641
"64","8.00_82.00","7.00_81.00",0.0626123039653339
"65","8.00_82.00","7.00_82.00",0.125224607930668
"66","8.00_82.00","7.00_83.00",0.0626123039653339
"67","8.00_82.00","8.00_81.00",0.125005354756002
"68","8.00_82.00","8.00_82.00",0.250010709512004
"69","8.00_82.00","8.00_83.00",0.125005354756002
"70","8.00_82.00","9.00_81.00",0.0623823412786641
"71","8.00_82.00","9.00_82.00",0.124764682557328
"72","8.00_82.00","9.00_83.00",0.0623823412786641
"73","8.00_84.00","7.00_83.00",0.0626123039653339
"74","8.00_84.00","7.00_84.00",0.125224607930668
"75","8.00_84.00","7.00_85.00",0.0626123039653339
"76","8.00_84.00","8.00_83.00",0.125005354756002
"77","8.00_84.00","8.00_84.00",0.250010709512004
"78","8.00_84.00","8.00_85.00",0.125005354756002
"79","8.00_84.00","9.00_83.00",0.0623823412786641
"80","8.00_84.00","9.00_84.00",0.124764682557328
"81","8.00_84.00","9.00_85.00",0.0623823412786641
"82","8.00_86.00","7.00_85.00",0.0626123039653339
"83","8.00_86.00","7.00_86.00",0.125224607930668
"84","8.00_86.00","7.00_87.00",0.0626123039653339
"85","8.00_86.00","8.00_85.00",0.125005354756002
"86","8.00_86.00","8.00_86.00",0.250010709512004
"87","8.00_86.00","8.00_87.00",0.125005354756002
"88","8.00_86.00","9.00_85.00",0.0623823412786641
"89","8.00_86.00","9.00_86.00",0.124764682557328
"90","8.00_86.00","9.00_87.00",0.0623823412786641
"91","8.00_88.00","7.00_87.00",0.0626123039653339
"92","8.00_88.00","7.00_88.00",0.125224607930668
"93","8.00_88.00","7.00_89.00",0.0626123039653339
"94","8.00_88.00","8.00_87.00",0.125005354756002
"95","8.00_88.00","8.00_88.00",0.250010709512004
"96","8.00_88.00","8.00_89.00",0.125005354756002
"97","8.00_88.00","9.00_87.00",0.0623823412786641
"98","8.00_88.00","9.00_88.00",0.124764682557328
"99","8.00_88.00","9.00_89.00",0.0623823412786641
"100","8.00_90.00","7.00_89.00",0.0626123039653339
"101","8.00_90.00","7.00_90.00",0.125224607930668
"102","8.00_90.00","7.00_91.00",0.0626123039653339
"103","8.00_90.00","8.00_89.00",0.125005354756002
"104","8.00_90.00","8.00_90.00",0.250010709512004
"105","8.00_90.00","8.00_91.00",0.125005354756002
"106","8.00_90.00","9.00_89.00",0.0623823412786641
"107","8.00_90.00","9.00_90.00",0.124764682557328
"108","8.00_90.00","9.00_91.00",0.0623823412786641
"109","8.00_92.00","7.00_91.00",0.0626123039653339
"110","8.00_92.00","7.00_92.00",0.125224607930668
"111","8.00_92.00","7.00_93.00",0.0626123039653339
"112","8.00_92.00","8.00_91.00",0.125005354756002
"113","8.00_92.00","8.00_92.00",0.250010709512004
"114","8.00_92.00","8.00_93.00",0.125005354756002
"115","8.00_92.00","9.00_91.00",0.0623823412786641
"116","8.00_92.00","9.00_92.00",0.124764682557328
"117","8.00_92.00","9.00_93.00",0.0623823412786641
"118","8.00_94.00","7.00_93.00",0.0626123039653339
"119","8.00_94.00","7.00_94.00",0.125224607930668
"120","8.00_94.00","7.00_95.00",0.0626123039653339
"121","8.00_94.00","8.00_93.00",0.125005354756002
"122","8.00_94.00","8.00_94.00",0.250010709512004
"123","8.00_94.00","8.00_95.00",0.125005354756002
"124","8.00_94.00","9.00_93.00",0.0623823412786641
"125","8.00_94.00","9.00_94.00",0.124764682557328
"126","8.00_94.00","9.00_95.00",0.0623823412786641
"127","8.00_96.00","7.00_95.00",0.0626123039653339
"128","8.00_96.00","7.00_96.00",0.125224607930668
"129","8.00_96.00","7.00_97.00",0.0626123039653339
"130","8.00_96.00","8.00_95.00",0.125005354756002
"131","8.00_96.00","8.00_96.00",0.250010709512004
"132","8.00_96.00","8.00_97.00",0.125005354756002
"133","8.00_96.00","9.00_95.00",0.0623823412786641
"134","8.00_96.00","9.00_96.00",0.124764682557328
