target_id,source_id,weight
8.00_68.00,6.94_67.08,0.0278370398654676
8.00_68.00,6.94_67.92,0.0463952291041014
8.00_68.00,6.94_68.75,0.0371171648263006
8.00_68.00,7.50_67.08,0.069528823474486
8.00_68.00,7.50_67.92,0.115881778738948
8.00_68.00,7.50_68.75,0.0927078745999384
8.00_68.00,8.06_67.08,0.0694367998082004
8.00_68.00,8.06_67.92,0.115728405424079
8.00_68.00,8.06_68.75,0.0925851727032587
8.00_68.00,8.61_67.08,0.0693382492616505
8.00_68.00,8.61_67.92,0.115564153937297
8.00_68.00,8.61_68.75,0.0924537680389088
8.00_68.00,9.17_67.08,0.0138562264755139
8.00_68.00,9.17_67.92,0.0230937917593483
8.00_68.00,9.17_68.75,0.0184755219825009
8.00_70.00,6.94_68.75,0.00927823071819623
8.00_70.00,6.94_69.58,0.0463960613941186
8.00_70.00,6.94_70.42,0.0463960613941186
8.00_70.00,6.94_71.25,0.00927908028943605
8.00_70.00,7.50_68.75,0.0231743198586745
8.00_70.00,7.50_69.58,0.115883857557169
8.00_70.00,7.50_70.42,0.115883857557169
8.00_70.00,7.50_71.25,0.0231764418403596
8.00_70.00,8.06_68.75,0.0231436478902663
8.00_70.00,8.06_69.58,0.115730481490916
8.00_70.00,8.06_70.42,0.115730481490916
8.00_70.00,8.06_71.25,0.0231457670634394
8.00_70.00,8.61_68.75,0.0231108004785906
8.00_70.00,8.61_69.58,0.115566227057605
8.00_70.00,8.61_70.42,0.115566227057605
8.00_70.00,8.61_71.25,0.0231129166440549
8.00_70.00,9.17_68.75,0.00461835262458636
8.00_70.00,9.17_69.58,0.0230942060418664
8.00_70.00,9.17_70.42,0.0230942060418664
8.00_70.00,9.17_71.25,0.00461877550904401
8.00_72.00,6.94_71.25,0.0371164568628873
8.00_72.00,6.94_72.08,0.0463954060942048
8.00_72.00,6.94_72.92,0.0278375708387775
8.00_72.00,7.50_71.25,0.0927061063133883
8.00_72.00,7.50_72.08,0.115882220808713
8.00_72.00,7.50_72.92,0.0695301496912718
8.00_72.00,8.06_71.25,0.0925834067570935
8.00_72.00,8.06_72.08,0.11572884690875
8.00_72.00,8.06_72.92,0.0694381242696951
8.00_72.00,8.61_71.25,0.0924520045991229
8.00_72.00,8.61_72.08,0.115564594795375
8.00_72.00,8.61_72.92,0.0693395718433579
8.00_72.00,9.17_71.25,0.0184751695850679
8.00_72.00,9.17_72.08,0.0230938798583333
8.00_72.00,9.17_72.92,0.013856490773962
8.00_74.00,6.94_72.92,0.0185579663121739
8.00_74.00,6.94_73.75,0.0463957337418478
8.00_74.00,6.94_74.58,0.0463957337418478
8.00_74.00,7.50_72.92,0.0463523984590495
8.00_74.00,7.50_73.75,0.115883039177162
